run,modelName,epoch,train loss,valid loss,train accuracy,valid accuracy,epoch duration,run duration,kfoldSplit,lr,batch_size,num_worker,model,optim,criterion
1,MLP,10,3.4060927114392525,0.6164280229929386,0.0944755804643715,0.039765145449693,17.26359724998474,17.265596389770508,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.747786887397695,0.5706925057461334,0.1953562850280224,0.0485721910862022,17.517505407333374,34.845102310180664,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.6279955816358005,0.5238481066784987,0.2319188684280758,0.0635174806511876,17.37534475326538,52.28044843673706,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.5328444256157694,0.5171434988108895,0.2719508940485722,0.0685882038964505,17.62071394920349,69.9551637172699,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.4716261922756386,0.4926625493051912,0.3050440352281825,0.0779290098745663,17.842082262039185,87.85224938392639,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.4451975214153665,0.4777779953302241,0.3167867627435282,0.0827328529490258,17.44945764541626,105.36337423324584,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.4119527643446543,0.4787800596464721,0.3349346143581532,0.0875366960234854,17.123759508132935,122.54713606834412,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.3950128602383454,0.4629061671934797,0.3485455030691219,0.0883373365358953,17.368195295333862,139.968332529068,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.3731673363847736,0.4637676587192605,0.3501467840939418,0.0875366960234854,17.26405382156372,157.2833867073059,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
1,MLP,10,1.3641999472227928,0.464729716181596,0.3544168668267948,0.0891379770483053,16.99994683265686,174.3363356590271,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
2,MLP,10,1.294024553113153,0.4192115244370382,0.3693621563917801,0.092340539097945,17.159889936447144,172.9698944091797,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
3,MLP,10,1.2459244637734928,0.4123997650115942,0.3821724045903389,0.0936749399519615,17.36867928504944,175.16684889793396,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
4,MLP,10,1.197898756958244,0.4163713877698024,0.3947157726180945,0.1003469442220443,16.951148509979248,172.52783155441284,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
5,MLP,10,1.12348736080132,0.36582531278725783,0.42807579396850814,0.10435014678409395,17.765402793884277,173.061203956604,5,0.01,500,4,<class 'models.MLP'>,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>
